ID,Sector,Domain,Country,Being,Avatar,Object,Variant,
1,ANY,ANY,ANY,Mate,Person,Person,"Nominee, Beneficiary",
2,ANY,ANY,ANY,Mate,Person,Individual,"Dependent, User, Subscriber",
3,ANY,ANY,ANY,Mate,Person,Institution,"Distributor, Shipper",
4,ANY,ANY,ANY,Mate,Person,Intermediary,"Dealer, Broker, Channel, Headhunter, Distributor",
5,ANY,ANY,ANY,Mate,Person,Target,"Prospect, Lead, Candiate, Applicant, Bidder",
6,ANY,ANY,ANY,Mate,Person,Authority,"Regulator, Court, Court, Jurisdiction",
7,ANY,ANY,ANY,Mate,Person,Fiduciary,"Bank, Depository, Custodian, Financial Institution",
8,ANY,ANY,ANY,Mate,Person,Institution,"Insurer, Carrier, Payer, Coverage Provider",
9,ANY,ANY,ANY,Mate,Person,Intermediary,"Agency, Advisor",
10,ANY,ANY,ANY,Mate,Person,Institution,"Issuer, Originator, Counterparty, Exchange, Processor",
11,ANY,ANY,ANY,Mate,Person,Intermediary,"Exchange, Market, Marketplace",
12,ANY,ANY,ANY,Mate,Person,Institution,"Laboratory, Resting Facility, Pharmacy, Drustore",
