ID,Sector,Domain,Country,Being,Avatar,Object,Variant,
97,ANY,ANY,ANY,Process,Posting,Posting,"Ledgder Posting, Payroll Posting, Deferred Revenue Postingg",
98,ANY,ANY,ANY,Process,Posting,Journal Entry,"Entry, Debit, Credit, Manual Entry, Automated Entry, Consolidation TopSide Entry, Intercompany Journal, Depreciation Journal, Allocation Journal, Tax Journal, Amortization Entry, Accrual Reversal, Cutoff Accrual Journal, Eliminatino Journal,",
99,ANY,ANY,ANY,Process,Posting,Adjustment,"Writeoff, Chargeoff, Reversal, Credit Memo, Correction, Amendment, Audit Adjustment, Reconciliation Adjustment",
100,ANY,ANY,ANY,Process,Posting,Accrual,"Provision, Estimate, Deferral",
101,ANY,ANY,ANY,Process,Posting,Allocation,"Intercompany Entry, Split",
102,ANY,ANY,ANY,Process,Posting,Transfer,"Liquidity Transfer, Funding Instruction",
103,ANY,ANY,ANY,Process,Posting,Valuation,"Appraisal, Assessment",
104,ANY,ANY,ANY,Process,Posting,Reconciliation,Matching,
105,ANY,ANY,ANY,Process,Posting,Review,"Trial Balance Review, Cash Position Review, Close Signoff",
106,ANY,ANY,ANY,Process,Posting,Consolidation,"Aggregation, Rollup",
