ID,Sector,Domain,Country,Being,Avatar,Object,Variant,
19,ANY,ANY,ANY,Mate,Reference,Reference,"Price, Ratecard, Rating, Rank, Fee, Standard, Fine, Penalty",
20,ANY,ANY,ANY,Mate,Reference,Currency,"Exchange Rate, Conversion Rate",
21,ANY,ANY,ANY,Mate,Reference,Interest,"Rate, Interest Rate",
22,ANY,ANY,ANY,Mate,Reference,Tax,"Tax Rate, Sales Tax, VAT, Tariff",
23,ANY,ANY,ANY,Mate,Reference,Holiday,"Federal Holiday, Public Holiday, Bank Holiday",
24,ANY,ANY,ANY,Mate,Reference,Schedule,"Timeline, Timetable",
25,ANY,ANY,ANY,Mate,Reference,Parameter,"Input, Method, Framework, Exemption, Factor",
26,ANY,ANY,ANY,Mate,Reference,Reference,"Index, Benchmark, Rating",
27,ANY,ANY,ANY,Mate,Reference,Reference,"Wage, Salary, Bonus, Incentive",
28,ANY,ANY,ANY,Mate,Reference,Reference,"Budget, Plan, Estimate, Forecast",
