list,name
L_Boolean,Boolean
L_BooleanIs,BooleanIs
L_Country,Country
L_CountryG7,CountryG7
L_CountryG20,CountryG20
L_Number,Number
L_Grade,Grade
L_Rank,Rank
L_Ranking,Ranking
L_Month,Month
L_Year,Year
L_PeriodAnnual,PeriodAnnual
L_PeriodQuarterly,PeriodQuarterly
L_PeriodMonthly,PeriodMonthly
L_PeriodAnnualQuarterly,PeriodAnnualQuarterly
L_PeriodAnnualMonthly,PeriodAnnualMonthly
L_Days,Days
L_Weeks,Weeks
L_Months,Months
L_EntityType,EntityType
L_EmploymentType,EmploymentType
L_PayType,PayType
L_ScheduleType,ScheduleType
L_JobType,JobType
